Region,Code,DevelopmentLevel,YesNo
Kuwait,414,Sub-Saharan Africa,N
Lebanon,422,Sub-Saharan Africa,N
Oman,512,Sub-Saharan Africa,N
Qatar,634,Sub-Saharan Africa,N
Saudi Arabia,682,Sub-Saharan Africa,N
State of Palestine,275,Sub-Saharan Africa,N
Syrian Arab Republic,760,Sub-Saharan Africa,N
Turkey,792,Sub-Saharan Africa,N
United Arab Emirates,784,Sub-Saharan Africa,N
Yemen,887,Sub-Saharan Africa,N
Kazakhstan,398,Sub-Saharan Africa,N
Kyrgyzstan,417,Sub-Saharan Africa,N
Tajikistan,762,Sub-Saharan Africa,N
Turkmenistan,795,Sub-Saharan Africa,N
Uzbekistan,860,Sub-Saharan Africa,N
Afghanistan,4,Sub-Saharan Africa,N
Bangladesh,50,Sub-Saharan Africa,N
Bhutan,64,Sub-Saharan Africa,N
India,356,Sub-Saharan Africa,N
Iran (Islamic Republic of),364,Sub-Saharan Africa,N
Maldives,462,Sub-Saharan Africa,N
Nepal,524,Sub-Saharan Africa,N
Pakistan,586,Sub-Saharan Africa,N
Sri Lanka,144,Sub-Saharan Africa,N
China,156,Sub-Saharan Africa,N
"China, Hong Kong SAR",344,Sub-Saharan Africa,N
"China, Macao SAR",446,Sub-Saharan Africa,N
Dem. People's Republic of Korea,408,Sub-Saharan Africa,N
Japan,392,Sub-Saharan Africa,N
Mongolia,496,Sub-Saharan Africa,N
Republic of Korea,410,Sub-Saharan Africa,N
Brunei Darussalam,96,Sub-Saharan Africa,N
Cambodia,116,Sub-Saharan Africa,N
Indonesia,360,Sub-Saharan Africa,N
Lao People's Democratic Republic,418,Sub-Saharan Africa,N
Malaysia,458,Sub-Saharan Africa,N
Myanmar,104,Sub-Saharan Africa,N
Philippines,608,Sub-Saharan Africa,N
Singapore,702,Sub-Saharan Africa,N
Thailand,764,Sub-Saharan Africa,N
Timor-Leste,626,Sub-Saharan Africa,N
Viet Nam,704,Sub-Saharan Africa,N
Anguilla,660,Sub-Saharan Africa,N
Antigua and Barbuda,28,Sub-Saharan Africa,N
Aruba,533,Sub-Saharan Africa,N
Bahamas,44,Sub-Saharan Africa,N
Barbados,52,Sub-Saharan Africa,N
British Virgin Islands,92,Sub-Saharan Africa,N
"Bonaire, Sint Eustatius and Saba",535,Sub-Saharan Africa,N
Cayman Islands,136,Sub-Saharan Africa,N
Cuba,192,Sub-Saharan Africa,N
Curaçao,531,Sub-Saharan Africa,N
Dominica,212,Sub-Saharan Africa,N
Dominican Republic,214,Sub-Saharan Africa,N
Grenada,308,Sub-Saharan Africa,N
Guadeloupe,312,Sub-Saharan Africa,N
Haiti,332,Sub-Saharan Africa,N
Jamaica,388,Sub-Saharan Africa,N
Martinique,474,Sub-Saharan Africa,N
Montserrat,500,Sub-Saharan Africa,N
Puerto Rico,630,Sub-Saharan Africa,N
Saint Kitts and Nevis,659,Sub-Saharan Africa,N
Saint Lucia,662,Sub-Saharan Africa,N
Saint Vincent and the Grenadines,670,Sub-Saharan Africa,N
Sint Maarten (Dutch part),534,Sub-Saharan Africa,N
Trinidad and Tobago,780,Sub-Saharan Africa,N
Turks and Caicos Islands,796,Sub-Saharan Africa,N
United States Virgin Islands,850,Sub-Saharan Africa,N
Belize,84,Sub-Saharan Africa,N
Costa Rica,188,Sub-Saharan Africa,N
El Salvador,222,Sub-Saharan Africa,N
Guatemala,320,Sub-Saharan Africa,N
Honduras,340,Sub-Saharan Africa,N
Mexico,484,Sub-Saharan Africa,N
Nicaragua,558,Sub-Saharan Africa,N
Panama,591,Sub-Saharan Africa,N
Argentina,32,Sub-Saharan Africa,N
Bolivia (Plurinational State of),68,Sub-Saharan Africa,N
Brazil,76,Sub-Saharan Africa,N
Chile,152,Sub-Saharan Africa,N
Colombia,170,Sub-Saharan Africa,N
Ecuador,218,Sub-Saharan Africa,N
Falkland Islands (Malvinas),238,Sub-Saharan Africa,N
French Guiana,254,Sub-Saharan Africa,N
Guyana,328,Sub-Saharan Africa,N
Paraguay,600,Sub-Saharan Africa,N
Peru,604,Sub-Saharan Africa,N
Suriname,740,Sub-Saharan Africa,N
Uruguay,858,Sub-Saharan Africa,N
Venezuela (Bolivarian Republic of),862,Sub-Saharan Africa,N
Australia,36,Sub-Saharan Africa,N
New Zealand,554,Sub-Saharan Africa,N
Fiji,242,Sub-Saharan Africa,N
New Caledonia,540,Sub-Saharan Africa,N
Papua New Guinea,598,Sub-Saharan Africa,N
Solomon Islands,90,Sub-Saharan Africa,N
Vanuatu,548,Sub-Saharan Africa,N
Guam,316,Sub-Saharan Africa,N
Kiribati,296,Sub-Saharan Africa,N
Marshall Islands,584,Sub-Saharan Africa,N
Micronesia (Fed. States of),583,Sub-Saharan Africa,N
Nauru,520,Sub-Saharan Africa,N
Northern Mariana Islands,580,Sub-Saharan Africa,N
Palau,585,Sub-Saharan Africa,N
American Samoa,16,Sub-Saharan Africa,N
Cook Islands,184,Sub-Saharan Africa,N
French Polynesia,258,Sub-Saharan Africa,N
Niue,570,Sub-Saharan Africa,N
Samoa,882,Sub-Saharan Africa,N
Tokelau,772,Sub-Saharan Africa,N
Tonga,776,Sub-Saharan Africa,N
Tuvalu,798,Sub-Saharan Africa,N
Wallis and Futuna Islands,876,Sub-Saharan Africa,N
Belarus,112,Sub-Saharan Africa,N
Bulgaria,100,Sub-Saharan Africa,N
Czechia,203,Sub-Saharan Africa,N
Hungary,348,Sub-Saharan Africa,N
Poland,616,Sub-Saharan Africa,N
Republic of Moldova,498,Sub-Saharan Africa,N
Romania,642,Sub-Saharan Africa,N
Russian Federation,643,Sub-Saharan Africa,N
Slovakia,703,Sub-Saharan Africa,N
Ukraine,804,Sub-Saharan Africa,N
Channel Islands,830,Sub-Saharan Africa,N
Denmark,208,Sub-Saharan Africa,N
Estonia,233,Sub-Saharan Africa,N
Faroe Islands,234,Sub-Saharan Africa,N
Finland,246,Sub-Saharan Africa,N
Iceland,352,Sub-Saharan Africa,N
Ireland,372,Sub-Saharan Africa,N
Isle of Man,833,Sub-Saharan Africa,N
Latvia,428,Sub-Saharan Africa,N
Lithuania,440,Sub-Saharan Africa,N
Norway,578,Sub-Saharan Africa,N
Sweden,752,Sub-Saharan Africa,N
United Kingdom,826,Sub-Saharan Africa,N
Albania,8,Sub-Saharan Africa,N
Andorra,20,Sub-Saharan Africa,N
Bosnia and Herzegovina,70,Sub-Saharan Africa,N
Croatia,191,Sub-Saharan Africa,N
Gibraltar,292,Sub-Saharan Africa,N
Greece,300,Sub-Saharan Africa,N
Holy See,336,Sub-Saharan Africa,N
Italy,380,Sub-Saharan Africa,N
Malta,470,Sub-Saharan Africa,N
Montenegro,499,Sub-Saharan Africa,N
North Macedonia,807,Sub-Saharan Africa,N
Portugal,620,Sub-Saharan Africa,N
San Marino,674,Sub-Saharan Africa,N
Serbia,688,Sub-Saharan Africa,N
Slovenia,705,Sub-Saharan Africa,N
Spain,724,Sub-Saharan Africa,N
Austria,40,Sub-Saharan Africa,N
Belgium,56,Sub-Saharan Africa,N
France,250,Sub-Saharan Africa,N
Germany,276,Sub-Saharan Africa,N
Liechtenstein,438,Sub-Saharan Africa,N
Luxembourg,442,Sub-Saharan Africa,N
Monaco,492,Sub-Saharan Africa,N
Netherlands,528,Sub-Saharan Africa,N
Switzerland,756,Sub-Saharan Africa,N
Bermuda,60,Sub-Saharan Africa,N
Canada,124,Sub-Saharan Africa,N
Greenland,304,Sub-Saharan Africa,N
Saint Pierre and Miquelon,666,Sub-Saharan Africa,N
United States of America,840,Sub-Saharan Africa,N
